iteration = 1 , objective = 0.6838089108757762, inputs = [0.95, 1.1], constraints = [0.38240745957532796]
iteration = 21 , objective = 0.673894630303968, inputs = [1.0008879450660606, 1.0709211891491266], constraints = [0.4279104962195045]
iteration = 22 , objective = 0.6802866460544101, inputs = [1.2746522002535206, 0.9], constraints = [0.5208035967395614]
iteration = 23 , objective = 0.6656929952706909, inputs = [1.1364133355928514, 0.9863076483755261], constraints = [0.5105870381420117]
iteration = 24 , objective = 0.666511655223254, inputs = [1.0704557423298868, 1.027487419209217], constraints = [0.48048656731176836]
iteration = 25 , objective = 0.6691277095260848, inputs = [1.0373300570241994, 1.0481690126712255], constraints = [0.4583008176604872]
iteration = 26 , objective = 0.671111586559649, inputs = [1.0201916528092583, 1.058869153824234], constraints = [0.44482040541281603]
iteration = 27 , objective = 0.6723381517161717, inputs = [1.0111757373104393, 1.064498124132733], constraints = [0.4371530180507428]
iteration = 28 , objective = 0.673041371879918, inputs = [1.006388665006853, 1.0674868708512504], constraints = [0.4329184113338616]
iteration = 29 , objective = 0.6734315559548275, inputs = [1.0038342584986197, 1.0690816815382589], constraints = [0.4306118547768605]
iteration = 30 , objective = 0.6736446212920265, inputs = [1.0024675484441172, 1.069934969295684], constraints = [0.4293642533905952]
iteration = 31 , objective = 0.6737600233538855, inputs = [1.0017352451482466, 1.070392173393239], constraints = [0.42869188450896967]
iteration = 32 , objective = 0.6738222622870046, inputs = [1.0013425609687272, 1.070637340685171], constraints = [0.4283302205136563]
iteration = 33 , objective = 0.6738222487138461, inputs = [1.0013425758698884, 1.070637340685171], constraints = [0.42833023511948637]
iteration = 34 , objective = 0.6738223072697976, inputs = [1.0013425609687272, 1.0706373555863322], constraints = [0.4283300762398427]
iteration = 35 , objective = 0.6738223192269048, inputs = [1.0013425609687272, 1.070637340685171], constraints = [0.4283300887551031]
iteration = 36 , objective = 0.6738222609504839, inputs = [1.0013425758698884, 1.070637340685171], constraints = [0.4283301953711858]
iteration = 37 , objective = 0.673822263984978, inputs = [1.0013425609687272, 1.0706373555863322], constraints = [0.42833017641645854]
iteration = 38 , objective = 0.6738222616007981, inputs = [1.0013425609687272, 1.070637340685171], constraints = [0.42833022212260463]
iteration = 39 , objective = 0.6738222582765324, inputs = [1.0013425758698884, 1.070637340685171], constraints = [0.42833021605888005]
iteration = 40 , objective = 0.673822263984978, inputs = [1.0013425609687272, 1.0706373555863322], constraints = [0.42833017641645854]
iteration = 41 , objective = 0.6822611534724863, inputs = [1.2999999998491127, 0.9000000000976469], constraints = [0.48550502806514195]
iteration = 42 , objective = 0.6658345117263241, inputs = [1.149087338358651, 0.986223652568032], constraints = [0.4954912145075366]
iteration = 43 , objective = 0.6663135483723119, inputs = [1.0767620229474868, 1.0275465793472232], constraints = [0.4734787904180629]
iteration = 44 , objective = 0.6689509612708978, inputs = [1.0405326737729268, 1.0482461467765136], constraints = [0.45483547133165064]
iteration = 45 , objective = 0.6709915023752699, inputs = [1.021907480778593, 1.0588876141794246], constraints = [0.4430957946340201]
iteration = 46 , objective = 0.6722519518257526, inputs = [1.0121916300324072, 1.0644387464033183], constraints = [0.4363596626389388]
iteration = 47 , objective = 0.6729698706688381, inputs = [1.0070823060582368, 1.067357948611778], constraints = [0.4326455511315095]
iteration = 48 , objective = 0.6733645302243065, inputs = [1.004383794283367, 1.068899738009471], constraints = [0.4306356691823278]
iteration = 49 , objective = 0.6735778202617665, inputs = [1.0029552720341832, 1.0697159213882765], constraints = [0.4295580939253545]
iteration = 50 , objective = 0.6736921004878488, inputs = [1.0021981186060636, 1.07014851951098], constraints = [0.4289831209511191]
iteration = 51 , objective = 0.6737530584894128, inputs = [1.0017965451447262, 1.0703779577186805], constraints = [0.42867709213754435]
iteration = 52 , objective = 0.6737530449311576, inputs = [1.0017965600458874, 1.0703779577186805], constraints = [0.4286771067045767]
iteration = 53 , objective = 0.6737531008513775, inputs = [1.0017965451447262, 1.0703779726198417], constraints = [0.4286769539330832]
iteration = 54 , objective = 0.6737531151823823, inputs = [1.0017965451447262, 1.0703779577186805], constraints = [0.4286769609444413]
iteration = 55 , objective = 0.6737530576424972, inputs = [1.0017965600458874, 1.0703779577186805], constraints = [0.42867706598351585]
iteration = 56 , objective = 0.673753060179772, inputs = [1.0017965451447262, 1.0703779726198417], constraints = [0.4286770480647285]
iteration = 57 , objective = 0.6737530578199054, inputs = [1.0017965451447262, 1.0703779577186805], constraints = [0.42867709370596907]
iteration = 58 , objective = 0.6737530543886089, inputs = [1.0017965600458874, 1.0703779577186805], constraints = [0.4286770877709726]
iteration = 59 , objective = 0.673753060179772, inputs = [1.0017965451447262, 1.0703779726198417], constraints = [0.4286770480647285]
iteration = 60 , objective = 0.6665355088532219, inputs = [1.2999999999999894, 1.0678027449220833], constraints = [0.1152113204400836]
iteration = 61 , objective = 0.6659571407724995, inputs = [1.1548629747996295, 1.0690561131123928], constraints = [0.2767131339693379]
iteration = 62 , objective = 0.6683213123819892, inputs = [1.082741722201627, 1.0696789347785172], constraints = [0.35140801787697257]
iteration = 63 , objective = 0.6704209189028115, inputs = [1.0454004534127448, 1.0700014049298876], constraints = [0.38804811391328337]
iteration = 64 , objective = 0.671812537355841, inputs = [1.0255402806416383, 1.0701729125708288], constraints = [0.4068673285510448]
iteration = 65 , objective = 0.6726518128158481, inputs = [1.014806279275401, 1.070265608806325], constraints = [0.4168226430148003]
iteration = 66 , objective = 0.6731360187368635, inputs = [1.00894937030096, 1.070316187653397], constraints = [0.42218871759287957]
iteration = 67 , objective = 0.6734096311175788, inputs = [1.0057367078971335, 1.0703439314276517], constraints = [0.4251118959960297]
iteration = 68 , objective = 0.6735626041878088, inputs = [1.0039692938576907, 1.0703591943871418], constraints = [0.42671384728379286]
iteration = 69 , objective = 0.6736476455771415, inputs = [1.0029953783296621, 1.0703676048857118], constraints = [0.4275946887516935]
iteration = 70 , objective = 0.6736947771564759, inputs = [1.002458225729116, 1.0703722436054453], constraints = [0.42807992795035477]
iteration = 71 , objective = 0.673694763620667, inputs = [1.002458240630277, 1.0703722436054453], constraints = [0.4280799424428453]
iteration = 72 , objective = 0.6736948116245615, inputs = [1.002458225729116, 1.0703722585066064], constraints = [0.42807980800647755]
iteration = 73 , objective = 0.6736947891097348, inputs = [1.002458225729116, 1.0703722436054453], constraints = [0.42807990028672677]
iteration = 1 , objective = 0.67224812173901, inputs = [0.9, 0.9], constraints = [0.9993457239685639]
iteration = 2 , objective = 0.6794669559265698, inputs = [0.9, 1.025], constraints = [0.6533326323889815]
iteration = 3 , objective = 0.6954225241006184, inputs = [0.9, 1.15], constraints = [0.24296359041235482]
iteration = 4 , objective = 0.7146931346566212, inputs = [0.9, 1.275], constraints = [-0.23610475258693858]
iteration = 5 , objective = 0.7464107234172116, inputs = [0.9, 1.4], constraints = [-0.762290186710435]
iteration = 6 , objective = 0.6691417004695693, inputs = [1.0, 0.9], constraints = [0.8844202276512366]
iteration = 7 , objective = 0.6697998041628889, inputs = [1.0, 1.025], constraints = [0.5610273041467236]
iteration = 8 , objective = 0.6784542513590204, inputs = [1.0, 1.15], constraints = [0.1750711739288787]
iteration = 9 , objective = 0.6903854201290683, inputs = [1.0, 1.275], constraints = [-0.2799632284997289]
iteration = 10 , objective = 0.7155958067269094, inputs = [1.0, 1.4], constraints = [-0.7852227750608182]
iteration = 11 , objective = 0.6705942688258044, inputs = [1.1, 0.9], constraints = [0.7576013318559527]
iteration = 12 , objective = 0.6656590693728008, inputs = [1.1, 1.025], constraints = [0.45463236236302096]
iteration = 13 , objective = 0.6680733152195265, inputs = [1.1, 1.15], constraints = [0.09072009892276367]
iteration = 14 , objective = 0.6735376231756243, inputs = [1.1, 1.275], constraints = [-0.3419241805576707]
iteration = 15 , objective = 0.6926874199207362, inputs = [1.1, 1.4], constraints = [-0.8267103541372861]
iteration = 16 , objective = 0.6752316529578791, inputs = [1.2, 0.9], constraints = [0.6236564598476662]
iteration = 17 , objective = 0.6653947777390029, inputs = [1.2, 1.025], constraints = [0.3394134395118754]
iteration = 18 , objective = 0.662363578258791, inputs = [1.2, 1.15], constraints = [-0.004373732501484681]
iteration = 19 , objective = 0.662145764583526, inputs = [1.2, 1.275], constraints = [-0.41630294620957703]
iteration = 20 , objective = 0.6759058155496095, inputs = [1.2, 1.4], constraints = [-0.8817974374112989]
iteration = 21 , objective = 0.6822611535036369, inputs = [1.3, 0.9], constraints = [0.4855050280595348]
iteration = 22 , objective = 0.6680490650220913, inputs = [1.3, 1.025], constraints = [0.21850948492381395]
iteration = 23 , objective = 0.6601840433341415, inputs = [1.3, 1.15], constraints = [-0.10673281829686201]
iteration = 24 , objective = 0.654891055158864, inputs = [1.3, 1.275], constraints = [-0.49935633806829594]
iteration = 25 , objective = 0.6638164013491427, inputs = [1.3, 1.4], constraints = [-0.9466603558985934]
iteration = 1 , objective = 0.6838089108757762, inputs = [0.95, 1.1], constraints = [0.38240745957532796]
iteration = 2 , objective = 0.6838088958119893, inputs = [0.9500000149011611, 1.1], constraints = [0.38240747796907215]
iteration = 3 , objective = 0.683808933281694, inputs = [0.95, 1.1000000149011613], constraints = [0.38240736676649073]
iteration = 4 , objective = 0.6838089614230732, inputs = [0.95, 1.1], constraints = [0.3824073430737428]
iteration = 5 , objective = 0.6838089101070669, inputs = [0.9500000149011611, 1.1], constraints = [0.38240743839189584]
iteration = 6 , objective = 0.6838089134835973, inputs = [0.95, 1.1000000149011613], constraints = [0.38240741241456755]
iteration = 7 , objective = 0.6838089062718559, inputs = [0.95, 1.1], constraints = [0.38240747023481325]
iteration = 8 , objective = 0.6838089088054737, inputs = [0.9500000149011611, 1.1], constraints = [0.38240744419424894]
iteration = 9 , objective = 0.6838089134835973, inputs = [0.95, 1.1000000149011613], constraints = [0.3824074124145693]
iteration = 10 , objective = 0.6822611534667864, inputs = [1.3, 0.9], constraints = [0.4855050280789279]
iteration = 11 , objective = 0.6653309028468611, inputs = [1.1254147900450195, 0.9997629771171319], constraints = [0.4903600728725089]
iteration = 12 , objective = 0.6687231699329408, inputs = [1.0429425660186928, 1.0468899622750327], constraints = [0.45618710159322384]
iteration = 13 , objective = 0.6738946285979699, inputs = [1.0008879450660606, 1.0709211742479654], constraints = [0.42791054036515597]
iteration = 14 , objective = 0.6738946150366515, inputs = [1.0008879599672218, 1.0709211742479654], constraints = [0.4279105549238144]
iteration = 15 , objective = 0.6738946625424571, inputs = [1.0008879450660606, 1.0709211891491266], constraints = [0.42791042161087156]
iteration = 16 , objective = 0.6738946424878733, inputs = [1.0008879450660606, 1.0709211742479654], constraints = [0.4279105082202163]
iteration = 17 , objective = 0.6738946185875393, inputs = [1.0008879599672218, 1.0709211742479654], constraints = [0.4279105354351619]
iteration = 18 , objective = 0.6738946543483595, inputs = [1.0008879450660606, 1.0709211891491266], constraints = [0.42791044057424127]
iteration = 19 , objective = 0.6738946284743135, inputs = [1.0008879450660606, 1.0709211742479654], constraints = [0.42791054065140643]
iteration = 20 , objective = 0.6738946372693004, inputs = [1.0008879599672218, 1.0709211742479654], constraints = [0.42791048961948197]
iteration = 21 , objective = 0.673894630303968, inputs = [1.0008879450660606, 1.0709211891491266], constraints = [0.4279104962195045]
iteration = 22 , objective = 0.6802866460544101, inputs = [1.2746522002535206, 0.9], constraints = [0.5208035967395614]
iteration = 23 , objective = 0.6656929952706909, inputs = [1.1364133355928514, 0.9863076483755261], constraints = [0.5105870381420117]
iteration = 24 , objective = 0.666511655223254, inputs = [1.0704557423298868, 1.027487419209217], constraints = [0.48048656731176836]
iteration = 25 , objective = 0.6691277095260848, inputs = [1.0373300570241994, 1.0481690126712255], constraints = [0.4583008176604872]
iteration = 26 , objective = 0.671111586559649, inputs = [1.0201916528092583, 1.058869153824234], constraints = [0.44482040541281603]
iteration = 27 , objective = 0.6723381517161717, inputs = [1.0111757373104393, 1.064498124132733], constraints = [0.4371530180507428]
iteration = 28 , objective = 0.673041371879918, inputs = [1.006388665006853, 1.0674868708512504], constraints = [0.4329184113338616]
iteration = 29 , objective = 0.6734315559548275, inputs = [1.0038342584986197, 1.0690816815382589], constraints = [0.4306118547768605]
iteration = 30 , objective = 0.6736446212920265, inputs = [1.0024675484441172, 1.069934969295684], constraints = [0.4293642533905952]
iteration = 31 , objective = 0.6737600233538855, inputs = [1.0017352451482466, 1.070392173393239], constraints = [0.42869188450896967]
iteration = 32 , objective = 0.6738222622870046, inputs = [1.0013425609687272, 1.070637340685171], constraints = [0.4283302205136563]
iteration = 33 , objective = 0.6738222487138461, inputs = [1.0013425758698884, 1.070637340685171], constraints = [0.42833023511948637]
iteration = 34 , objective = 0.6738223072697976, inputs = [1.0013425609687272, 1.0706373555863322], constraints = [0.4283300762398427]
iteration = 35 , objective = 0.6738223192269048, inputs = [1.0013425609687272, 1.070637340685171], constraints = [0.4283300887551031]
iteration = 36 , objective = 0.6738222609504839, inputs = [1.0013425758698884, 1.070637340685171], constraints = [0.4283301953711858]
iteration = 37 , objective = 0.673822263984978, inputs = [1.0013425609687272, 1.0706373555863322], constraints = [0.42833017641645854]
iteration = 38 , objective = 0.6738222616007981, inputs = [1.0013425609687272, 1.070637340685171], constraints = [0.42833022212260463]
iteration = 39 , objective = 0.6738222582765324, inputs = [1.0013425758698884, 1.070637340685171], constraints = [0.42833021605888005]
iteration = 40 , objective = 0.673822263984978, inputs = [1.0013425609687272, 1.0706373555863322], constraints = [0.42833017641645854]
iteration = 41 , objective = 0.6822611534724863, inputs = [1.2999999998491127, 0.9000000000976469], constraints = [0.48550502806514195]
iteration = 42 , objective = 0.6658345117263241, inputs = [1.149087338358651, 0.986223652568032], constraints = [0.4954912145075366]
iteration = 43 , objective = 0.6663135483723119, inputs = [1.0767620229474868, 1.0275465793472232], constraints = [0.4734787904180629]
iteration = 44 , objective = 0.6689509612708978, inputs = [1.0405326737729268, 1.0482461467765136], constraints = [0.45483547133165064]
iteration = 45 , objective = 0.6709915023752699, inputs = [1.021907480778593, 1.0588876141794246], constraints = [0.4430957946340201]
iteration = 46 , objective = 0.6722519518257526, inputs = [1.0121916300324072, 1.0644387464033183], constraints = [0.4363596626389388]
iteration = 47 , objective = 0.6729698706688381, inputs = [1.0070823060582368, 1.067357948611778], constraints = [0.4326455511315095]
iteration = 48 , objective = 0.6733645302243065, inputs = [1.004383794283367, 1.068899738009471], constraints = [0.4306356691823278]
iteration = 49 , objective = 0.6735778202617665, inputs = [1.0029552720341832, 1.0697159213882765], constraints = [0.4295580939253545]
iteration = 50 , objective = 0.6736921004878488, inputs = [1.0021981186060636, 1.07014851951098], constraints = [0.4289831209511191]
iteration = 51 , objective = 0.6737530584894128, inputs = [1.0017965451447262, 1.0703779577186805], constraints = [0.42867709213754435]
iteration = 52 , objective = 0.6737530449311576, inputs = [1.0017965600458874, 1.0703779577186805], constraints = [0.4286771067045767]
iteration = 53 , objective = 0.6737531008513775, inputs = [1.0017965451447262, 1.0703779726198417], constraints = [0.4286769539330832]
iteration = 54 , objective = 0.6737531151823823, inputs = [1.0017965451447262, 1.0703779577186805], constraints = [0.4286769609444413]
iteration = 55 , objective = 0.6737530576424972, inputs = [1.0017965600458874, 1.0703779577186805], constraints = [0.42867706598351585]
iteration = 56 , objective = 0.673753060179772, inputs = [1.0017965451447262, 1.0703779726198417], constraints = [0.4286770480647285]
iteration = 57 , objective = 0.6737530578199054, inputs = [1.0017965451447262, 1.0703779577186805], constraints = [0.42867709370596907]
iteration = 58 , objective = 0.6737530543886089, inputs = [1.0017965600458874, 1.0703779577186805], constraints = [0.4286770877709726]
iteration = 59 , objective = 0.673753060179772, inputs = [1.0017965451447262, 1.0703779726198417], constraints = [0.4286770480647285]
iteration = 60 , objective = 0.6665355088532219, inputs = [1.2999999999999894, 1.0678027449220833], constraints = [0.1152113204400836]
iteration = 61 , objective = 0.6659571407724995, inputs = [1.1548629747996295, 1.0690561131123928], constraints = [0.2767131339693379]
iteration = 62 , objective = 0.6683213123819892, inputs = [1.082741722201627, 1.0696789347785172], constraints = [0.35140801787697257]
iteration = 63 , objective = 0.6704209189028115, inputs = [1.0454004534127448, 1.0700014049298876], constraints = [0.38804811391328337]
iteration = 64 , objective = 0.671812537355841, inputs = [1.0255402806416383, 1.0701729125708288], constraints = [0.4068673285510448]
iteration = 65 , objective = 0.6726518128158481, inputs = [1.014806279275401, 1.070265608806325], constraints = [0.4168226430148003]
iteration = 66 , objective = 0.6731360187368635, inputs = [1.00894937030096, 1.070316187653397], constraints = [0.42218871759287957]
iteration = 67 , objective = 0.6734096311175788, inputs = [1.0057367078971335, 1.0703439314276517], constraints = [0.4251118959960297]
iteration = 68 , objective = 0.6735626041878088, inputs = [1.0039692938576907, 1.0703591943871418], constraints = [0.42671384728379286]
iteration = 69 , objective = 0.6736476455771415, inputs = [1.0029953783296621, 1.0703676048857118], constraints = [0.4275946887516935]
iteration = 70 , objective = 0.6736947771564759, inputs = [1.002458225729116, 1.0703722436054453], constraints = [0.42807992795035477]
iteration = 71 , objective = 0.673694763620667, inputs = [1.002458240630277, 1.0703722436054453], constraints = [0.4280799424428453]
iteration = 72 , objective = 0.6736948116245615, inputs = [1.002458225729116, 1.0703722585066064], constraints = [0.42807980800647755]
iteration = 73 , objective = 0.6736947891097348, inputs = [1.002458225729116, 1.0703722436054453], constraints = [0.42807990028672677]
iteration = 74 , objective = 0.6736947670756351, inputs = [1.002458240630277, 1.0703722436054453], constraints = [0.4280799227703431]
iteration = 75 , objective = 0.673694896628605, inputs = [1.002458225729116, 1.0703722585066064], constraints = [0.4280796112801928]
iteration = 76 , objective = 0.6736949328908668, inputs = [1.002458225729116, 1.0703722436054453], constraints = [0.42807956753163356]
iteration = 77 , objective = 0.6736947758613867, inputs = [1.002458240630277, 1.0703722436054453], constraints = [0.42807990865101664]
iteration = 78 , objective = 0.6736947788416604, inputs = [1.002458225729116, 1.0703722585066064], constraints = [0.4280798838764991]
iteration = 79 , objective = 0.666490798506511, inputs = [1.3, 1.0711765303900844], constraints = [0.10679948545653256]
iteration = 80 , objective = 0.6660208721817049, inputs = [1.1553320339523017, 1.0707854776260215], constraints = [0.27152692701533]
iteration = 81 , objective = 0.6683574463819554, inputs = [1.0833990047932125, 1.0705910350645578], constraints = [0.3481629347488069]
iteration = 82 , objective = 0.6704192834632108, inputs = [1.046120115476894, 1.0704902662965532], constraints = [0.38593072242646353]
iteration = 83 , objective = 0.671785112173418, inputs = [1.0262692764700345, 1.0704366073859135], constraints = [0.4053982584706965]
iteration = 84 , objective = 0.6726094026268321, inputs = [1.0155254617494003, 1.0704075657220409], constraints = [0.4157256949547721]
iteration = 85 , objective = 0.6730856594897341, inputs = [1.0096544174949103, 1.0703916956704573], constraints = [0.4213049752686339]
iteration = 86 , objective = 0.6733551955926458, inputs = [1.0064288817110967, 1.0703829767071769], constraints = [0.4243504727516471]
iteration = 87 , objective = 0.6735061369807125, inputs = [1.0046514784418623, 1.0703781721987546], constraints = [0.42602259468254866]
iteration = 88 , objective = 0.6735901902719452, inputs = [1.0036704247297847, 1.070375520307142], constraints = [0.4269436741469844]
iteration = 89 , objective = 0.6736368535854541, inputs = [1.0031284227791395, 1.070374055218728], constraints = [0.42745197124144574]
iteration = 90 , objective = 0.6736368400733198, inputs = [1.0031284376803007, 1.070374055218728], constraints = [0.42745198567650455]
iteration = 91 , objective = 0.6736368813005429, inputs = [1.0031284227791395, 1.0703740701198892], constraints = [0.4274518669351008]
iteration = 92 , objective = 0.6736368655869511, inputs = [1.0031284227791395, 1.070374055218728], constraints = [0.42745194346762755]
iteration = 93 , objective = 0.6736368435281831, inputs = [1.0031284376803007, 1.070374055218728], constraints = [0.427451965969082]
iteration = 94 , objective = 0.6736369827722803, inputs = [1.0031284227791395, 1.0703740701198892], constraints = [0.42745163210960624]
iteration = 95 , objective = 0.6736368394078636, inputs = [1.0031284227791395, 1.070374055218728], constraints = [0.4274520040511743]
iteration = 96 , objective = 0.6736368429848997, inputs = [1.0031284376803007, 1.070374055218728], constraints = [0.4274519821510518]
iteration = 97 , objective = 0.6736368445065862, inputs = [1.0031284227791395, 1.0703740701198892], constraints = [0.4274519538441754]
iteration = 98 , objective = 0.666307542617459, inputs = [1.2917027673931512, 1.0713643002390614], constraints = [0.11600052784204223]
iteration = 99 , objective = 0.666099018632133, inputs = [1.1516037570818363, 1.070883549438085], constraints = [0.2753101427241206]
iteration = 100 , objective = 0.6684373196346082, inputs = [1.0818020238819945, 1.070644024268915], constraints = [0.3496490675338007]
iteration = 101 , objective = 0.6704566371168883, inputs = [1.045581285390263, 1.0705197325340687], constraints = [0.3863762142383424]
iteration = 102 , objective = 0.6717859420476576, inputs = [1.026281114116276, 1.0704535038520935], constraints = [0.4053376187823169]
iteration = 103 , objective = 0.6725859646682772, inputs = [1.0158327431146008, 1.0704176501889107], constraints = [0.41540527004458855]
iteration = 104 , objective = 0.6730475118262992, inputs = [1.0101231849226042, 1.0703980577973018], constraints = [0.4208461981635747]
iteration = 105 , objective = 0.6733084774597854, inputs = [1.0069868551263006, 1.070387295458165], constraints = [0.4238163665640726]
iteration = 106 , objective = 0.6734545220572247, inputs = [1.0052590236745105, 1.0703813663916244], constraints = [0.42544694209825096]
iteration = 107 , objective = 0.6735358059924882, inputs = [1.0043056072062053, 1.0703780947358876], constraints = [0.42634494030584935]
iteration = 108 , objective = 0.673580911730785, inputs = [1.003779040619472, 1.0703762878187097], constraints = [0.42684036310143575]
iteration = 109 , objective = 0.6735808982424002, inputs = [1.0037790555206332, 1.0703762878187097], constraints = [0.42684037747898085]
iteration = 110 , objective = 0.6735809340132036, inputs = [1.003779040619472, 1.070376302719871], constraints = [0.42684027137542296]
iteration = 111 , objective = 0.673580924100308, inputs = [1.003779040619472, 1.0703762878187097], constraints = [0.4268403344773909]
iteration = 112 , objective = 0.6735809016999549, inputs = [1.0037790555206332, 1.0703762878187097], constraints = [0.4268403577828031]
iteration = 113 , objective = 0.6735809138127137, inputs = [1.003779040619472, 1.070376302719871], constraints = [0.4268403181209425]
iteration = 114 , objective = 0.6735809117308651, inputs = [1.003779040619472, 1.0703762878187097], constraints = [0.4268403631012503]
iteration = 115 , objective = 0.6735808982441936, inputs = [1.0037790555206332, 1.0703762878187097], constraints = [0.42684037747483233]
iteration = 116 , objective = 0.6735809332005549, inputs = [1.003779040619472, 1.070376302719871], constraints = [0.42684027325595714]
iteration = 117 , objective = 0.6664882775010498, inputs = [1.2999999999992737, 1.071395446497371], constraints = [0.10625228358379223]
iteration = 118 , objective = 0.6660142163153673, inputs = [1.1559373577690697, 1.0708997938858638], constraints = [0.2705592132852265]
iteration = 119 , objective = 0.6683193295369165, inputs = [1.0843075408569836, 1.0706533489695091], constraints = [0.3470555874788357]
iteration = 120 , objective = 0.6703537818908364, inputs = [1.047195043757039, 1.0705256621117478], constraints = [0.3847695744938716]
iteration = 121 , objective = 0.6717008101852371, inputs = [1.0274411849458607, 1.0704576982624423], constraints = [0.40421014836816765]
iteration = 122 , objective = 0.6725129912857585, inputs = [1.0167556928907964, 1.0704209344494207], constraints = [0.4145213511867661]
iteration = 123 , objective = 0.6729820348287482, inputs = [1.010920329535703, 1.0704008576755863], constraints = [0.42008898001471423]
iteration = 124 , objective = 0.6732472900642191, inputs = [1.0077165611424383, 1.0703898349972139], constraints = [0.4231264056480003]
iteration = 125 , objective = 0.6733957218599956, inputs = [1.0059523972919855, 1.0703837653291441], constraints = [0.42479302969522514]
iteration = 126 , objective = 0.6734783150714575, inputs = [1.004979355206668, 1.070380417543464], constraints = [0.4257104520905043]
iteration = 127 , objective = 0.6735241331368772, inputs = [1.0044421738306406, 1.0703785693519567], constraints = [0.4262163708052798]
iteration = 128 , objective = 0.6735241196730348, inputs = [1.0044421887318018, 1.0703785693519567], constraints = [0.4262163851234425]
iteration = 129 , objective = 0.6735241509610882, inputs = [1.0044421738306406, 1.070378584253118], constraints = [0.42621628940359907]
iteration = 130 , objective = 0.6735241461319078, inputs = [1.0044421738306406, 1.0703785693519567], constraints = [0.4262163407353152]
iteration = 131 , objective = 0.6735241231338747, inputs = [1.0044421887318018, 1.0703785693519567], constraints = [0.4262163655358754]
iteration = 132 , objective = 0.6735241351771467, inputs = [1.0044421738306406, 1.070378584253118], constraints = [0.42621632592698666]
iteration = 133 , objective = 0.6735241331369609, inputs = [1.0044421738306406, 1.0703785693519567], constraints = [0.42621637080508734]
iteration = 134 , objective = 0.6735241196749564, inputs = [1.0044421887318018, 1.0703785693519567], constraints = [0.4262163851189969]
iteration = 135 , objective = 0.6735241502854027, inputs = [1.0044421738306406, 1.070378584253118], constraints = [0.42621629096710456]
iteration = 136 , objective = 0.6664869647758139, inputs = [1.299999999999999, 1.0715110640225853], constraints = [0.10596321851957385]
iteration = 137 , objective = 0.6660110286481482, inputs = [1.1562416366392951, 1.0709602223058412], constraints = [0.27006470892779005]
iteration = 138 , objective = 0.6683004119050755, inputs = [1.0847641556868584, 1.0706863406519607], constraints = [0.34649408910990814]
iteration = 139 , objective = 0.6703211567628394, inputs = [1.047735173612614, 1.0705444559811963], constraints = [0.3841827566502569]
iteration = 140 , objective = 0.6716587804832328, inputs = [1.0280299277475495, 1.0704689510073817], constraints = [0.4036107289428789]
iteration = 141 , objective = 0.672464910522363, inputs = [1.0173736296309668, 1.0704281190626417], constraints = [0.41391430717362243]
iteration = 142 , objective = 0.6729303538102249, inputs = [1.0115561017019417, 1.0704058279277349], constraints = [0.4194763887932884]
iteration = 143 , objective = 0.6731934749295629, inputs = [1.0083631994935673, 1.0703935936222466], constraints = [0.4225099381810108]
